Date,Campaign name,Ad group name,Spend in account currency,Impressions,Reach,Outbound clicks,Saves,Engagements,Total conversions (Checkout),Total order value (Checkout)
2026-06-15,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.76,100,99,2,0,2,0,0
2026-06-15,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.76,74,75,1,0,1,0,0
2026-06-15,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.46,55,54,1,0,1,0,0
2026-06-15,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.70,72,70,0,0,0,0,0
2026-06-15,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.17,19,19,0,0,3,0,0
2026-06-15,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,1.04,81,80,1,0,1,0,0
2026-06-15,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.05,8,8,0,0,0,0,0
2026-06-15,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.01,1,1,0,0,0,0,0
2026-06-15,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.01,1,1,0,0,0,0,0
2026-06-15,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.37,45,45,1,0,1,0,0
2026-06-15,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.48,48,48,1,0,1,0,0
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,1.82,64,48,0,0,0,0,0
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,1.08,13,8,0,0,0,0,0
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.51,15,12,0,0,0,0,0
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,1.36,18,17,0,0,0,0,0
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0,1,1,0,0,0,0,0
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.33,11,11,0,0,0,0,0
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.03,1,1,0,0,0,0,0
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.19,5,5,0,0,0,0,0
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.03,1,1,0,0,0,0,0
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.21,2,2,0,0,0,0,0
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.23,5,4,0,0,0,0,0
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,2.18,54,53,0,0,0,0,0
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,1.14,13,12,0,0,0,0,0
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.14,5,4,0,0,0,0,0
2026-06-16,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.12,3,2,0,0,0,0,0
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,5.04,404,394,0,0,0,0,0
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,4.82,361,350,0,0,0,0,0
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,1.15,139,134,0,0,0,0,0
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,11.28,750,716,2,0,2,0,0
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.24,26,26,0,0,0,0,0
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,8.57,485,466,2,0,2,0,0
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.09,15,14,0,0,0,0,0
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.15,18,17,0,0,0,0,0
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.06,14,14,0,0,0,0,0
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.16,13,13,0,0,0,0,0
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.10,19,20,0,0,0,0,0
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.18,37,35,0,0,0,0,0
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.00,1,1,0,0,0,0,0
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,6.61,629,626,1,0,1,0,0
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,3.76,537,522,0,0,0,0,0
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.29,32,31,0,0,0,0,0
2026-06-17,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.11,17,17,0,0,0,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,7.48,578,527,8,0,8,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,7.51,592,540,3,0,3,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,3.00,358,341,1,0,1,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,10.78,747,702,12,0,13,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.93,86,83,3,0,4,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,4.53,446,420,5,0,6,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,0.27,36,35,0,0,0,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.11,25,22,1,0,1,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.54,62,58,0,0,0,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.48,79,59,0,0,0,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.88,86,74,2,0,2,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.13,11,11,0,0,0,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.75,98,86,1,0,1,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.10,9,8,0,0,0,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,2.37,263,259,1,0,1,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Ad group | 2026-06-14,1.59,228,225,0,0,0,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.45,81,73,1,0,1,0,0
2026-06-18,Conversions Campaign | 2026-06-14,Conversions Audience list ad group | 2026-06-14 20:56 UTC,0.15,18,17,0,0,0,0,0
